x_min,y_min,x_max,y_max,class_id,confidence,tracker_id,class_name
750.0,450.0,822.0,608.0,0,0.7380940914154053,,person
1417.0,703.0,1524.0,889.0,0,0.7173851728439331,,person
1202.0,128.0,1254.0,263.0,0,0.616371750831604,,person
31.0,794.0,141.0,989.0,0,0.6124160885810852,,person
666.0,647.0,746.0,852.0,0,0.5946707725524902,,person
568.0,274.0,631.0,408.0,0,0.5274218320846558,,person
1461.0,468.0,1543.0,643.0,0,0.48933476209640503,,person
1448.0,318.0,1516.0,470.0,0,0.48833319544792175,,person
259.0,440.0,326.0,610.0,0,0.47413182258605957,,person
1162.0,153.0,1213.0,278.0,0,0.4519689381122589,,person
1139.0,506.0,1213.0,657.0,0,0.44484809041023254,,person
201.0,44.0,267.0,161.0,0,0.43276745080947876,,person
1401.0,704.0,1521.0,890.0,0,0.7136914730072021,,person
755.0,445.0,822.0,595.0,0,0.7120235562324524,,person
671.0,639.0,748.0,836.0,0,0.6648699641227722,,person
36.0,798.0,142.0,989.0,0,0.6533057689666748,,person
1450.0,323.0,1519.0,483.0,0,0.6335338354110718,,person
1202.0,121.0,1254.0,256.0,0,0.571210503578186,,person
258.0,444.0,326.0,610.0,0,0.5090932250022888,,person
204.0,40.0,266.0,157.0,0,0.48633700609207153,,person
567.0,276.0,630.0,412.0,0,0.4743928909301758,,person
1140.0,499.0,1214.0,652.0,0,0.4362748861312866,,person
1464.0,477.0,1545.0,650.0,0,0.4260933995246887,,person
713.0,235.0,765.0,376.0,0,0.4213578999042511,,person
926.0,178.0,987.0,315.0,0,0.417513370513916,,person
756.0,443.0,824.0,592.0,0,0.6971645355224609,,person
1395.0,703.0,1519.0,890.0,0,0.6886434555053711,,person
1201.0,119.0,1254.0,255.0,0,0.6125147342681885,,person
672.0,635.0,749.0,821.0,0,0.6024481058120728,,person
1452.0,323.0,1521.0,484.0,0,0.5967292189598083,,person
39.0,800.0,143.0,990.0,0,0.5137416124343872,,person
568.0,280.0,632.0,415.0,0,0.47300463914871216,,person
258.0,444.0,325.0,611.0,0,0.4633970558643341,,person
984.0,101.0,1039.0,239.0,0,0.4578680992126465,,person
208.0,35.0,264.0,155.0,0,0.4474310576915741,,person
926.0,180.0,986.0,317.0,0,0.4055480659008026,,person
1091.0,46.0,1135.0,153.0,0,0.403536319732666,,person
756.0,438.0,824.0,591.0,0,0.723471462726593,,person
1395.0,704.0,1516.0,890.0,0,0.6794599890708923,,person
673.0,630.0,749.0,814.0,0,0.6563494205474854,,person
1200.0,118.0,1253.0,255.0,0,0.601486325263977,,person
39.0,801.0,145.0,990.0,0,0.5670110583305359,,person
711.0,228.0,767.0,371.0,0,0.5249119997024536,,person
1142.0,930.0,1244.0,1080.0,0,0.5235121846199036,,person
569.0,278.0,632.0,415.0,0,0.5067594647407532,,person
1452.0,324.0,1521.0,481.0,0,0.44680631160736084,,person
210.0,33.0,262.0,152.0,0,0.43693220615386963,,person
253.0,443.0,324.0,610.0,0,0.4328388571739197,,person
95.0,130.0,148.0,253.0,0,0.40141257643699646,,person
757.0,433.0,823.0,587.0,0,0.7517739534378052,,person
674.0,623.0,750.0,808.0,0,0.6755476593971252,,person
1394.0,705.0,1513.0,890.0,0,0.6579192876815796,,person
1455.0,326.0,1527.0,480.0,0,0.5695927143096924,,person
929.0,185.0,982.0,319.0,0,0.5548245310783386,,person
1202.0,118.0,1253.0,253.0,0,0.5484325885772705,,person
40.0,802.0,146.0,990.0,0,0.5434615015983582,,person
1142.0,925.0,1243.0,1079.0,0,0.5419420003890991,,person
712.0,226.0,768.0,370.0,0,0.5082787871360779,,person
95.0,130.0,147.0,253.0,0,0.44605568051338196,,person
252.0,446.0,324.0,608.0,0,0.41604968905448914,,person
1167.0,147.0,1213.0,274.0,0,0.4072166681289673,,person
756.0,430.0,823.0,586.0,0,0.757109522819519,,person
1456.0,327.0,1527.0,482.0,0,0.6836380958557129,,person
674.0,618.0,750.0,801.0,0,0.6610116362571716,,person
1395.0,705.0,1510.0,889.0,0,0.6596991419792175,,person
929.0,187.0,982.0,320.0,0,0.6195782423019409,,person
1141.0,919.0,1244.0,1080.0,0,0.5988562107086182,,person
712.0,223.0,768.0,370.0,0,0.570021390914917,,person
1202.0,117.0,1253.0,251.0,0,0.5404343008995056,,person
215.0,32.0,268.0,150.0,0,0.4654003083705902,,person
345.0,492.0,398.0,639.0,0,0.4523334503173828,,person
250.0,448.0,323.0,609.0,0,0.42844241857528687,,person
570.0,285.0,632.0,416.0,0,0.4259895086288452,,person
95.0,131.0,147.0,252.0,0,0.41600751876831055,,person
756.0,426.0,821.0,582.0,0,0.7768025398254395,,person
1395.0,706.0,1508.0,888.0,0,0.689635157585144,,person
1458.0,331.0,1527.0,489.0,0,0.6779838800430298,,person
929.0,188.0,984.0,325.0,0,0.6396366953849792,,person
1140.0,912.0,1244.0,1080.0,0,0.6262041330337524,,person
675.0,614.0,750.0,796.0,0,0.578366756439209,,person
713.0,222.0,768.0,369.0,0,0.5508987903594971,,person
41.0,803.0,144.0,990.0,0,0.5264443159103394,,person
216.0,31.0,272.0,149.0,0,0.5231210589408875,,person
571.0,286.0,632.0,414.0,0,0.5119448900222778,,person
1203.0,116.0,1252.0,252.0,0,0.5011773109436035,,person
345.0,492.0,398.0,639.0,0,0.4916420578956604,,person
248.0,447.0,324.0,618.0,0,0.4875797629356384,,person
1141.0,901.0,1242.0,1080.0,0,0.7560158967971802,,person
757.0,423.0,818.0,576.0,0,0.7513369917869568,,person
673.0,608.0,750.0,794.0,0,0.6816102266311646,,person
44.0,807.0,148.0,990.0,0,0.6706663966178894,,person
1391.0,706.0,1502.0,888.0,0,0.6457598209381104,,person
929.0,190.0,983.0,326.0,0,0.6449410915374756,,person
572.0,286.0,631.0,415.0,0,0.6124731302261353,,person
712.0,217.0,767.0,370.0,0,0.5955497622489929,,person
1458.0,340.0,1530.0,496.0,0,0.5873452425003052,,person
246.0,455.0,325.0,634.0,0,0.5731320381164551,,person
221.0,29.0,281.0,148.0,0,0.5282126069068909,,person
1852.0,657.0,1919.0,839.0,0,0.5067647099494934,,person
984.0,113.0,1043.0,253.0,0,0.4533887803554535,,person
345.0,492.0,398.0,641.0,0,0.4427732229232788,,person
799.0,71.0,841.0,196.0,0,0.40764057636260986,,person
1140.0,895.0,1239.0,1080.0,0,0.7309848666191101,,person
756.0,420.0,818.0,576.0,0,0.6981473565101624,,person
674.0,603.0,750.0,794.0,0,0.6603595614433289,,person
571.0,286.0,631.0,417.0,0,0.6469698548316956,,person
1394.0,709.0,1499.0,888.0,0,0.6318762898445129,,person
45.0,808.0,149.0,989.0,0,0.5745887160301208,,person
1851.0,653.0,1919.0,838.0,0,0.5568201541900635,,person
1461.0,345.0,1530.0,496.0,0,0.554892361164093,,person
928.0,189.0,983.0,326.0,0,0.5517886281013489,,person
712.0,215.0,767.0,369.0,0,0.5481581687927246,,person
226.0,29.0,284.0,148.0,0,0.45475494861602783,,person
245.0,460.0,324.0,640.0,0,0.4531734585762024,,person
984.0,114.0,1043.0,254.0,0,0.408538281917572,,person
95.0,130.0,147.0,249.0,0,0.4016662836074829,,person
344.0,491.0,398.0,640.0,0,0.4000668525695801,,person
756.0,419.0,818.0,575.0,0,0.7060176730155945,,person
675.0,600.0,751.0,793.0,0,0.6998111009597778,,person
1139.0,889.0,1239.0,1076.0,0,0.6931819915771484,,person
571.0,288.0,631.0,422.0,0,0.6289888620376587,,person
1393.0,711.0,1497.0,887.0,0,0.6055179834365845,,person
1462.0,346.0,1531.0,497.0,0,0.5888711214065552,,person
1850.0,649.0,1919.0,836.0,0,0.5475507974624634,,person
928.0,190.0,983.0,325.0,0,0.5453351140022278,,person
713.0,215.0,767.0,367.0,0,0.5372467041015625,,person
45.0,808.0,151.0,989.0,0,0.5322772264480591,,person
985.0,115.0,1043.0,254.0,0,0.46468213200569153,,person
1474.0,494.0,1557.0,671.0,0,0.42332708835601807,,person
95.0,129.0,146.0,249.0,0,0.4159507751464844,,person
756.0,416.0,818.0,575.0,0,0.722346305847168,,person
676.0,597.0,752.0,792.0,0,0.7051649689674377,,person
1135.0,885.0,1233.0,1073.0,0,0.6813018321990967,,person
1394.0,709.0,1492.0,885.0,0,0.6522396802902222,,person
571.0,293.0,631.0,425.0,0,0.5927750468254089,,person
1463.0,346.0,1532.0,505.0,0,0.5888687968254089,,person
928.0,191.0,982.0,323.0,0,0.5443541407585144,,person
47.0,809.0,154.0,988.0,0,0.5381928086280823,,person
1849.0,645.0,1919.0,836.0,0,0.522434413433075,,person
713.0,214.0,767.0,362.0,0,0.518325686454773,,person
1474.0,499.0,1557.0,678.0,0,0.4088343381881714,,person
1797.0,155.0,1861.0,285.0,0,0.40034568309783936,,person
1135.0,878.0,1230.0,1072.0,0,0.7628424167633057,,person
675.0,594.0,751.0,789.0,0,0.7519519329071045,,person
757.0,414.0,817.0,575.0,0,0.7153620719909668,,person
1392.0,709.0,1487.0,887.0,0,0.6982661485671997,,person
47.0,810.0,159.0,987.0,0,0.649489164352417,,person
571.0,297.0,631.0,425.0,0,0.5947098731994629,,person
1474.0,501.0,1558.0,683.0,0,0.5784709453582764,,person
713.0,213.0,768.0,361.0,0,0.5676730871200562,,person
927.0,191.0,982.0,323.0,0,0.5664080381393433,,person
1464.0,349.0,1534.0,507.0,0,0.5415520668029785,,person
1845.0,643.0,1919.0,835.0,0,0.5188325643539429,,person
1798.0,156.0,1862.0,287.0,0,0.433536171913147,,person
1132.0,871.0,1227.0,1073.0,0,0.7272002696990967,,person
675.0,586.0,750.0,784.0,0,0.7260257005691528,,person
1390.0,710.0,1476.0,886.0,0,0.7166988849639893,,person
757.0,409.0,816.0,573.0,0,0.6929123401641846,,person
570.0,298.0,631.0,431.0,0,0.6760825514793396,,person
1478.0,510.0,1562.0,689.0,0,0.6503406167030334,,person
925.0,191.0,981.0,327.0,0,0.5848772525787354,,person
49.0,813.0,174.0,988.0,0,0.5800235867500305,,person
1843.0,638.0,1919.0,835.0,0,0.5717574954032898,,person
1466.0,354.0,1539.0,517.0,0,0.4972522556781769,,person
243.0,477.0,325.0,654.0,0,0.4377307891845703,,person
674.0,581.0,749.0,782.0,0,0.7350809574127197,,person
758.0,406.0,816.0,569.0,0,0.7303678393363953,,person
1129.0,865.0,1224.0,1072.0,0,0.7200402021408081,,person
1388.0,709.0,1471.0,886.0,0,0.6921402812004089,,person
570.0,295.0,631.0,433.0,0,0.6749535202980042,,person
925.0,191.0,982.0,331.0,0,0.6444064974784851,,person
1480.0,512.0,1565.0,692.0,0,0.6274644732475281,,person
49.0,814.0,182.0,988.0,0,0.5936992168426514,,person
243.0,478.0,324.0,654.0,0,0.5900593996047974,,person
1845.0,635.0,1919.0,831.0,0,0.5226090550422668,,person
711.0,204.0,765.0,345.0,0,0.5161298513412476,,person
1470.0,358.0,1541.0,518.0,0,0.47763505578041077,,person
1206.0,102.0,1253.0,230.0,0,0.44650059938430786,,person
340.0,488.0,398.0,641.0,0,0.41160598397254944,,person
1127.0,863.0,1221.0,1071.0,0,0.7851448059082031,,person
756.0,402.0,816.0,567.0,0,0.7257518768310547,,person
674.0,577.0,749.0,773.0,0,0.7034183740615845,,person
569.0,293.0,631.0,438.0,0,0.652768611907959,,person
242.0,479.0,323.0,655.0,0,0.6479102373123169,,person
926.0,194.0,982.0,336.0,0,0.642221212387085,,person
51.0,815.0,186.0,988.0,0,0.6342508792877197,,person
1483.0,513.0,1566.0,692.0,0,0.6184676885604858,,person
1390.0,711.0,1468.0,877.0,0,0.5853930711746216,,person
710.0,201.0,764.0,342.0,0,0.5765966773033142,,person
1471.0,360.0,1542.0,518.0,0,0.5416631102561951,,person
1387.0,710.0,1469.0,884.0,0,0.5415293574333191,,person
1838.0,633.0,1919.0,828.0,0,0.5389919877052307,,person
1206.0,100.0,1252.0,230.0,0,0.40749943256378174,,person
92.0,127.0,143.0,247.0,0,0.40721485018730164,,person
1126.0,859.0,1216.0,1071.0,0,0.7140903472900391,,person
241.0,481.0,322.0,654.0,0,0.6947211027145386,,person
675.0,571.0,748.0,765.0,0,0.6859639883041382,,person
755.0,400.0,816.0,560.0,0,0.6707443594932556,,person
926.0,196.0,981.0,334.0,0,0.6473922729492188,,person
1384.0,709.0,1465.0,884.0,0,0.6353499293327332,,person
1831.0,632.0,1919.0,826.0,0,0.6149031519889832,,person
568.0,293.0,631.0,440.0,0,0.590367317199707,,person
52.0,817.0,190.0,988.0,0,0.5892167091369629,,person
710.0,197.0,763.0,337.0,0,0.5887302756309509,,person
1473.0,362.0,1544.0,517.0,0,0.5511682033538818,,person
1484.0,515.0,1567.0,692.0,0,0.5170367360115051,,person
1126.0,854.0,1215.0,1070.0,0,0.7940201759338379,,person
1830.0,628.0,1919.0,825.0,0,0.7115784883499146,,person
675.0,567.0,748.0,757.0,0,0.6818699836730957,,person
241.0,482.0,319.0,654.0,0,0.6775431632995605,,person
756.0,398.0,816.0,551.0,0,0.6597625017166138,,person
53.0,819.0,191.0,989.0,0,0.6381943225860596,,person
710.0,195.0,762.0,335.0,0,0.6267669200897217,,person
926.0,200.0,980.0,335.0,0,0.6133290529251099,,person
1379.0,709.0,1460.0,885.0,0,0.5961583256721497,,person
